,collection_id,avg_accuracy,data_size,n_heel_strike,n_foot_flat,n_heel_off,n_toe_off,label,precision,recall,f1-score,support
1289,hiG83ssX2DUOVgSmNQWr_14_L,0.8,205,3,90,2,110,foot flat,1.0,0.8333333333333334,0.9090909090909091,90.0
1290,hiG83ssX2DUOVgSmNQWr_14_L,0.8,205,3,90,2,110,heel off,0.04878048780487805,1.0,0.09302325581395349,2.0
1291,hiG83ssX2DUOVgSmNQWr_14_L,0.8,205,3,90,2,110,toe off,1.0,0.7636363636363637,0.865979381443299,110.0
1300,hp2uM7Dt3BARA5u7KdNN_14_R,0.7475728155339806,206,11,58,86,51,heel strike,1.0,0.36363636363636365,0.5333333333333333,11.0
1301,hp2uM7Dt3BARA5u7KdNN_14_R,0.7475728155339806,206,11,58,86,51,foot flat,0.7341772151898734,1.0,0.8467153284671532,58.0
1302,hp2uM7Dt3BARA5u7KdNN_14_R,0.7475728155339806,206,11,58,86,51,heel off,1.0,0.47674418604651164,0.6456692913385826,86.0
1303,hp2uM7Dt3BARA5u7KdNN_14_R,0.7475728155339806,206,11,58,86,51,toe off,0.6219512195121951,1.0,0.7669172932330827,51.0
1336,iEenNiZinB9xT3zkAhZv_14_L,0.6186770428015564,257,2,59,124,72,heel strike,0.5,1.0,0.6666666666666666,2.0
1337,iEenNiZinB9xT3zkAhZv_14_L,0.6186770428015564,257,2,59,124,72,foot flat,0.456,0.9661016949152542,0.6195652173913043,59.0
1338,iEenNiZinB9xT3zkAhZv_14_L,0.6186770428015564,257,2,59,124,72,heel off,1.0,0.22580645161290322,0.3684210526315789,124.0
1339,iEenNiZinB9xT3zkAhZv_14_L,0.6186770428015564,257,2,59,124,72,toe off,0.72,1.0,0.8372093023255814,72.0
1344,iFn0gvAUoaWtybqgvz84_3_R,0.7688679245283019,212,9,49,55,99,heel strike,1.0,0.7777777777777778,0.875,9.0
1345,iFn0gvAUoaWtybqgvz84_3_R,0.7688679245283019,212,9,49,55,99,foot flat,0.6049382716049383,1.0,0.7538461538461538,49.0
1346,iFn0gvAUoaWtybqgvz84_3_R,0.7688679245283019,212,9,49,55,99,heel off,0.5952380952380952,0.45454545454545453,0.5154639175257731,55.0
1347,iFn0gvAUoaWtybqgvz84_3_R,0.7688679245283019,212,9,49,55,99,toe off,1.0,0.8282828282828283,0.9060773480662984,99.0
1352,iRsAqd0NbbBjg9JScc4g_11_L,0.7583333333333333,240,5,56,91,88,heel strike,1.0,0.2,0.3333333333333333,5.0
1353,iRsAqd0NbbBjg9JScc4g_11_L,0.7583333333333333,240,5,56,91,88,foot flat,0.5833333333333334,1.0,0.7368421052631579,56.0
1354,iRsAqd0NbbBjg9JScc4g_11_L,0.7583333333333333,240,5,56,91,88,heel off,1.0,0.4065934065934066,0.578125,91.0
1355,iRsAqd0NbbBjg9JScc4g_11_L,0.7583333333333333,240,5,56,91,88,toe off,0.8301886792452831,1.0,0.9072164948453608,88.0
1440,ldKrKt0GkBhlaXZAHigC_4_L,0.7619047619047619,231,2,42,83,104,heel strike,0.5,0.5,0.5,2.0
1441,ldKrKt0GkBhlaXZAHigC_4_L,0.7619047619047619,231,2,42,83,104,foot flat,0.4606741573033708,0.9761904761904762,0.6259541984732825,42.0
1442,ldKrKt0GkBhlaXZAHigC_4_L,0.7619047619047619,231,2,42,83,104,heel off,0.8571428571428571,0.43373493975903615,0.576,83.0
1443,ldKrKt0GkBhlaXZAHigC_4_L,0.7619047619047619,231,2,42,83,104,toe off,1.0,0.9423076923076923,0.9702970297029703,104.0
1748,w0Mk7i0zJ74GfaETi5t9_5_R,0.7857142857142857,224,2,43,86,93,heel strike,0.5,1.0,0.6666666666666666,2.0
1749,w0Mk7i0zJ74GfaETi5t9_5_R,0.7857142857142857,224,2,43,86,93,foot flat,0.4880952380952381,0.9534883720930233,0.6456692913385826,43.0
1750,w0Mk7i0zJ74GfaETi5t9_5_R,0.7857142857142857,224,2,43,86,93,heel off,0.9347826086956522,0.5,0.6515151515151515,86.0
1751,w0Mk7i0zJ74GfaETi5t9_5_R,0.7857142857142857,224,2,43,86,93,toe off,1.0,0.967741935483871,0.9836065573770492,93.0
1772,xCKrVMuGR6iHMMeBTsQw_14_L,0.7072072072072072,222,7,130,9,76,heel strike,0.875,1.0,0.9333333333333333,7.0
1773,xCKrVMuGR6iHMMeBTsQw_14_L,0.7072072072072072,222,7,130,9,76,foot flat,1.0,0.5692307692307692,0.7254901960784313,130.0
1774,xCKrVMuGR6iHMMeBTsQw_14_L,0.7072072072072072,222,7,130,9,76,heel off,0.0,0.0,0.0,9.0
1775,xCKrVMuGR6iHMMeBTsQw_14_L,0.7072072072072072,222,7,130,9,76,toe off,0.8085106382978723,1.0,0.8941176470588236,76.0
1844,zmCkqhYTl03DYdauXAtc_11_R,0.7788944723618091,199,13,41,68,77,heel strike,1.0,0.3076923076923077,0.47058823529411764,13.0
1845,zmCkqhYTl03DYdauXAtc_11_R,0.7788944723618091,199,13,41,68,77,foot flat,0.5061728395061729,1.0,0.6721311475409836,41.0
1846,zmCkqhYTl03DYdauXAtc_11_R,0.7788944723618091,199,13,41,68,77,heel off,0.9024390243902439,0.5441176470588235,0.6788990825688074,68.0
1847,zmCkqhYTl03DYdauXAtc_11_R,0.7788944723618091,199,13,41,68,77,toe off,1.0,0.948051948051948,0.9733333333333334,77.0
